"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp"
"a03Qy0000055xxnIAA","005Qy000005GwqBIAS","0","Alemania","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-21 14:59:04","005Qy000005GwqBIAS","2024-05-21 14:59:04"
"a03Qy0000055xxoIAA","005Qy000005GwqBIAS","0","Angola Irlanda (Eire)","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
"a03Qy0000055xxpIAA","005Qy000005GwqBIAS","0","Antigua y Barbuda Islas Feroe","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
"a03Qy0000055xxqIAA","005Qy000005GwqBIAS","0","Argentina Islas Vírgenes (Norteamericanas)","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
"a03Qy0000055xxrIAA","005Qy000005GwqBIAS","0","Aruba Israel","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
"a03Qy0000055xxsIAA","005Qy000005GwqBIAS","0","Australia Italia","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
"a03Qy0000055xxtIAA","005Qy000005GwqBIAS","0","Bahamas Jamaica","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
"a03Qy0000055xxuIAA","005Qy000005GwqBIAS","0","Bangladesh Japón","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
"a03Qy0000055xxvIAA","005Qy000005GwqBIAS","0","Barbados Letonia","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
"a03Qy0000055xxwIAA","005Qy000005GwqBIAS","0","Bélgica Líbano","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
"a03Qy0000055xxxIAA","005Qy000005GwqBIAS","0","Belice Malasia","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
"a03Qy0000055xxyIAA","005Qy000005GwqBIAS","0","Bolivia Martinica","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
"a03Qy0000055xxzIAA","005Qy000005GwqBIAS","0","Brasil","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-21 15:02:04","005Qy000005GwqBIAS","2024-05-21 15:02:04"
"a03Qy0000055xy0IAA","005Qy000005GwqBIAS","0","Canadá Nicaragua","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
"a03Qy0000055xy1IAA","005Qy000005GwqBIAS","0","Chile Nigeria","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
"a03Qy0000055xy2IAA","005Qy000005GwqBIAS","0","China (Continental) Noruega","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
"a03Qy0000055xy3IAA","005Qy000005GwqBIAS","0","China-Taiwán (Formosa) Otras de las Indias Occidentales Británicas","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14","005Qy000005GwqBIAS","2024-05-20 16:49:14"
