"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","LastActivityDate"
"a00WU000009FVO5YAO","005WU000003RmTRYA0","0","Afganistán","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVO6YAO","005WU000003RmTRYA0","0","Albania","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVO7YAO","005WU000003RmTRYA0","0","Alemania","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVO8YAO","005WU000003RmTRYA0","0","Andes","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVO9YAO","005WU000003RmTRYA0","0","Andorra","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOAYA4","005WU000003RmTRYA0","0","Angola","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOBYA4","005WU000003RmTRYA0","0","Antigua y Barbuda","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOCYA4","005WU000003RmTRYA0","0","América Central","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVODYA4","005WU000003RmTRYA0","0","Arabia Saudita","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOEYA4","005WU000003RmTRYA0","0","Argelia","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOFYA4","005WU000003RmTRYA0","0","Argentina","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOGYA4","005WU000003RmTRYA0","0","Armenia","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOHYA4","005WU000003RmTRYA0","0","Artico","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOIYA4","005WU000003RmTRYA0","0","Australia","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOJYA4","005WU000003RmTRYA0","0","Austria","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOKYA4","005WU000003RmTRYA0","0","Azerbaiyán","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOLYA4","005WU000003RmTRYA0","0","Bahamas","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOMYA4","005WU000003RmTRYA0","0","Bahrain","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVONYA4","005WU000003RmTRYA0","0","Bangladesh","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOOYA4","005WU000003RmTRYA0","0","Barbados","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOPYA4","005WU000003RmTRYA0","0","Baren","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOQYA4","005WU000003RmTRYA0","0","Belice","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVORYA4","005WU000003RmTRYA0","0","Benin","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOSYA4","005WU000003RmTRYA0","0","Bielorrusia","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOTYA4","005WU000003RmTRYA0","0","Birmania (Myanmar)","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOUYA4","005WU000003RmTRYA0","0","Bolivia","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOVYA4","005WU000003RmTRYA0","0","Borneo","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOWYA4","005WU000003RmTRYA0","0","Bosnia y Herzegovina","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOXYA4","005WU000003RmTRYA0","0","Botswana","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOYYA4","005WU000003RmTRYA0","0","Brasil","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOZYA4","005WU000003RmTRYA0","0","Brunei","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOaYAO","005WU000003RmTRYA0","0","Bulgaria","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVObYAO","005WU000003RmTRYA0","0","Burkina Faso","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOcYAO","005WU000003RmTRYA0","0","Burundi","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOdYAO","005WU000003RmTRYA0","0","Cabo Verde","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOeYAO","005WU000003RmTRYA0","0","Camboya","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOfYAO","005WU000003RmTRYA0","0","Camerún","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOgYAO","005WU000003RmTRYA0","0","Canada","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOhYAO","005WU000003RmTRYA0","0","Catar","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOiYAO","005WU000003RmTRYA0","0","Centroafrica","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOjYAO","005WU000003RmTRYA0","0","Centroamerica","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOkYAO","005WU000003RmTRYA0","0","Chad","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOlYAO","005WU000003RmTRYA0","0","Chile","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOmYAO","005WU000003RmTRYA0","0","China","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOnYAO","005WU000003RmTRYA0","0","Chipre","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOoYAO","005WU000003RmTRYA0","0","Ciudad del Vaticano","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOpYAO","005WU000003RmTRYA0","0","Colombia","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOqYAO","005WU000003RmTRYA0","0","Comoras","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOrYAO","005WU000003RmTRYA0","0","Congo","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOsYAO","005WU000003RmTRYA0","0","CoreadelNorte","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOtYAO","005WU000003RmTRYA0","0","CoreadelSur","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOuYAO","005WU000003RmTRYA0","0","CostaRica","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOvYAO","005WU000003RmTRYA0","0","CostaMarfil","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOwYAO","005WU000003RmTRYA0","0","Croacia","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOxYAO","005WU000003RmTRYA0","0","Cuba","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
"a00WU000009FVOyYAO","005WU000003RmTRYA0","0","Dinamarca","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35","005WU000003RmTRYA0","2024-05-28 17:14:35",""
